Page Number,Text
1,"Page 1 of 30 
  
 
 
 “INVESTING IN AFRICA’S FUTURE”  
 
 
SECOND SEMESTER  2025 / 2026 ACADEMIC YEAR  
 
JANUARY 2025  
  
Wednesday 1st - Friday 3rd      
                Wednesday 1st New Year's Day  
Monday 6th - Friday 10th    
                 Monday 6th  
BSN Block Releas e Programme Commence  
                 Thursday 9th Fee Payment and Online Registration of Students  
                 Friday 10th Fee Payment and Online Registration of Students  
  
Week 01: Monday 13th - Friday 17th  
                 Monday 13th 
 
 Lectures B egin  
Special Examinations Begin  
Late Registration commences  
                 Friday 17th Special Examinations End  
  
Week 02: Monday 20th - Friday 24th    
                 Monday 20th   
                 Tuesday 21st   
                 Wednesday 22nd    
                 Thursday 23rd   
                 Friday 24th  
                
Library Committee meeting  
Research & Publications Committee meeting  
Graduate Studies & Honorary Degrees Committee meeting  
Curriculum & Academic Regulations Committee meeting  
ICT Committee meeting  
Quality Assurance and Compliance Committee meeting  
  
Week 03: Monday 27th     - Friday 31st    
                 Monday 27th 
  
Departmental Board of Examiners' Meetings to Consider   
Special Examination Results  
                 Wednesda y 29th   
 College Board of Examiners' Meetings to Consider  Special 
Examination Results  
                 Friday 31st    Senate Meeting to Consider Special  Examination Results  
  
FEBRUARY 2025  
  
Week 04: Monday 3rd – Friday 7th  
                 Monday 3rd  
                 Friday 7th 
  
Publication of Special Examination Results  
BSN Block Release programme Ends  
Week 05: Monday 10th - Friday 14th   
"
2,"Page 2 of 30 
                  Monday 10th  
                 Tuesday 11th   
                 Wednesday 12th  
                 Thursday 13th  
                 Friday 14th  Library Committee meeting  
Research & Publications Committee meeting  
Graduate Studies & Honorary Degrees Committee meeting  
Curriculum & Academic Regulations Committee meeting  
Late Registration Ends  
Week 06: Monday 17th - Friday 21st    
                 Tuesday 18th    
                 Wednesday 19th   
Quality Assurance and Compliance Committee meeting  
ICT Committee meeting  
                 Friday 21st    Public Holiday  
Week 07: Monday 24th    - Friday 28th  
                 Monday 24th 
                 Friday 28th     
 
Academic Ceremonies Committee meeting  
MARCH 2025  
  
Week 08: Monday 3rd - Friday 7th  
                 Thursday 6th  
Mid Semester Break  
  
Week 09: Monday 10th - Friday 14th  
                  Monday 10th 
                  Friday 14th  
Lectures Resume  
Academic Ceremonies Committee meeting  
Week 10: Monday 17th - Friday 21st  
                 Monday 17th 
                 Tuesday 18th  
                 Wednesday 19th 
                 Thursday 20th   
  
                 Friday 21st     
Attachment Assessments Commences  
Library Committee meeting  
Research & Publications Committee meeting  
Curriculum & Academic Regulations Committee meeting  
 
Attachment Assessments Ends  
Week 11: Monday 24th    - Frida y 28th        
                 Monday 24th 
                 Tuesday 25th 
                 Wednesday 26th    
                 Thursday 27th  
Quality Assurance and Compliance Committee meeting  
Graduate Studies & Honorary Degrees Committee meeting  
ICT Committ ee meeting  
Business Senate  
 
  
 
APRIL 2025  
  
Week 12: Monday 1st     - Friday 4th   
                 Monday 01st     
                 Friday 4th         
 
Academic Ceremonies Committee Meeting     
Week 13: Monday 7th - Friday 11th  
                 Thurs day 10th  
                 Friday 11th  
Academic Ceremonies Committee Meeting     
Week 14: Monday 14th - Friday 18th  
                 Monday 14th Last Classes of the Second Semester  
                  Friday 18th    Public Holiday  
  
  "
3,"Page 3 of 30 
 Week 15: Monda y 21st  - Friday 25th       
                 Monday 21st   Public Holiday  
  
                 Tuesday 22nd  Examinations for Second Semester Begin  
      
                  Friday 25th       Examinations for Final Year Students End  
Academic Ceremonies Co mmittee meeting  
APRIL/MAY 2025  
  
Week 16: Monday 28th   - Friday 2nd     
                 Wednesday 30th   
                 Thursday 1st   Public Holiday  
 
  
                 Friday 2nd      Examinations for Second Semester End  
Academic Ceremonies Com mittee meeting  
                 Saturday 3rd       End of Semester  
Week 17: Monday 5th – Friday 9th  
                 Friday 9th Academic Ceremonies Committee meeting  
  
Week 18: Monday 12th – Friday 16th   
                 Tuesday 13th  Departmental Board of Examiners' Meetings to Consider 
Examinations Results for Final Year Students  
                 Thursday 15th   
 College Board of Examiners' Meetings to Consider Examinations 
Results for Final Year Students  
                 Friday 16th Academic Ce remonies Committee meeting  
Week 19: Monday 19th – Friday 23rd  
                 Tuesday 20th   
Senate Meeting to Consider Examinations Results for Final 
Year Students  
                  Thursday 22nd    
                 Friday 23rd   Publication of Exami nations Results for Final Year Students  
Academic Ceremonies Committee meeting  
                 Sunday 25th Public Holiday  
Week 20: Monday 26th – Friday 30th  
                 Monday 26th Public Holiday  
                 Friday 30th Academic Ceremonies C ommittee meeting  
  
 
JUNE 2025   
Week 21: Monday 2nd   – Friday 6th  
                 Monday  2nd    Departmental Board of Examiners' Meetings to Consider 
Examination Results for Continuing Students    
                 Wednesday 4th       College Board of Examiners' Meetings to Consider Examination 
Results for Continuing students  
                 Thursday 5h  Academic Ceremonies Committee meeting  
  
                 Friday 6th  Graduation Rehearsals  
  "
4,"Page 4 of 30 
                  Saturday 7th  Graduation Day  
  
Week 22: Monday 9th – Friday 13th 
                 Tuesday 10th   
 
                 Wednesday 11th  Senate Meeting to Consider Examinations Results for 
Continuing Students  
                 Thursday 12th                                  Publication of E xamination Results for Continuing Students  
  
Week 23: Monday 16th  – Friday 20th    
  
Week 24: Monday 23rd   – Friday 27th   
  
 
JUNE/JULY 2025  
 
Week 25: Monday 30th – Friday 4th  
                 Monday 30th   Closing of Applications for the August  2025 Intake  – International  
 
BSN Block Release Programme Commence  
  
Week 26: Monday 7th – Friday 11th  
Friday 11th  Closing of Applications for the August 2025 Intake  – National  
  
Monday 14th – Friday 18th  
Monday 21st – Friday 25th  
                 Monday 21st Early Registration for Continuing Students Begins  
  
Monday 28th   – Friday 1st  
                 Monday 28th     
Early Registration for First Year Students Begins  
  
 
FIRST SEMESTER 2025/2026 ACADEMIC YEAR  
 
  
 
AUGUST 2025  
  
Monday 4th – Friday 8th  
               Monday 4th     Arrival, Fee Payment and Online Registration of First Years  
               Tuesday 5th  Orientation of First Year Students Begins  
               Saturday 9th  BSN Block Release programme Ends  
Monday 11th – Friday 15th  
                Monday 11th  Public Holiday  
                Tuesday 12th  Public Holiday  
                Wednesday 13th  Welcome Chapel Service for 1st Years  "
5,"Page 5 of 30 
  Arrival and Online Registration of Returning Students  
                 Friday 15th  Matriculation and Interactive Event  
Week 01: Monday 18th   - Friday 22nd      
                 Monday 18th      Lectures for All Students Begin  
Late Registration Commences  
Special Examinations Begin  
  
                 Wednesday 20th Dedication Servi ce 
  
                 Friday 22nd  Special Examinations End  
  
  
Week 02: Monday 25th - Friday 29th      
                 Monday 25th  
 Library Committee meeting  
Quality Assurance and Compliance Committee meeting  
                 Tuesday 26th   Curri culum & Academic Regulations Committee meeting  
Research & Publications Committee meeting  
                 Wednesday 27th Graduate Studies & Honorary Degrees Committee meeting  
ICT Committee meeting  
                 Thursday 28th   Senate Retreat  
                  Friday 29th   Senate Retreat  
  
 
SEPTEMBER 2025  
  
  
Week 03: Monday 1st    - Friday 5th    
                 Monday 1st   Departmental Board of Examiners' Meetings to Consider   
Special Examination Results  
                Wednesday 3rd  
 College Board of Examiners' Meetings to Consider  Special 
Examination Results  
                Friday 5th Senate Meeting to Consider Special Examination Results  
Week 04: Monday 8th - Friday 12th   
                 Monday 8th Publication of Special Examinatio n Results  
                 Tuesday 9th   
                 Wednesday 10th 
                 Thursday 11th  
                  Friday 12th     Library Committee meeting  
Research & Publications Committee meeting  
Graduate Studies & Honorary Degrees Committee me eting  
Curriculum & Academic Regulations Committee meeting  
Week 05: Monday 15th - Friday 19th      
                 Tuesday 16th 
                 Wednesday 17th  
                 Friday 19th ICT Committee meeting  
Quality Assurance and Compliance Committee  meeting  
Late Registrations Ends  
Week 06: Monday 22nd    - Friday 26th    
                 Tuesday 23rd   
                 Thursday 25th  Curriculum & Academic Regulations Committee meeting  
ICT Committee meeting  
  
OCTOBER 2025   "
6,"Page 6 of 30 
  
Week 07: Monday 29th   - Friday 3rd       
                 Wednesday 1st  Opening of Applications for the August 2026 Intake  
  
Week 08: Monday 6th - Friday 10th 
                 Thursday 9th     
Mid Semester Break  
Week 09: Monday 13th - Friday 17th  
                 Monday 13th  
Lectures Resume  
  
Week 10: Monday 20th - Friday 24th 
Monday  20th 
Tuesday 21st     
     Wednesday 22nd    
Thursday 23rd        
Library Committee meeting  
Quality Assurance and Compliance Committee meeting  
Research & Publications Committee meeting  
ICT Committee meeting  
 
Week 11: Monday 27th - Friday 31st   
 
NOVEMBER 2025  
  
Week 12: Monday 3rd   - Friday 7th  
                 Monday 3rd     
                 Tuesday 4th    
                 Thursday 6th     
Curriculum & Academic Regulations Committee m eeting  
Graduate Studies & Honorary Degrees Committee meeting  
Business Senate Meeting  
  
Week 13: Monday 10th  - Friday 14th     
                 Tuesday 11th    Last Classes of the Semester  
               Wednesday 12th - Friday 14th Reading Days  
  
Week 14: Mond ay 17th    - Friday 21st    
                 Monday 17th    Examinations Begin  
Week 15: Monday 24th    - Friday 28th    
                 Friday 28th   Examinations End  
  
                 Saturday 29th    End of Semester  
  
 
DECEMBER 2025  
  
Week 16: Monday 1st    - Friday 5th   
                 Friday 5th  
Departmental Board of Examiners' Meetings to Consider 
Examination Results  
Week 17: Monday 8th     - Friday 12th    
                 Tuesday 9th  
 College Board of Examiners' Meetings to Consider Examination 
Result s 
                 Thursday 11th  Senate Meeting to Consider Examinations Results  
                  Friday 12th  Publication of Examinations Results  
  
Week 18: Monday 15th   - Friday 19th    "
7,"Page 7 of 30 
   
Week 19: Monday 22nd - Friday 26th    
                  Monday 22nd  Public Holiday  
  
                  Thursday 25th  Public Holiday  
  
                   Friday 26th   Public Holiday  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
8,"Page 8 of 30 
  
 “INVESTING IN AFRICA’S FUTURE”  
 
 
SECOND SEMESTER  202 5 / 202 6 ACADEMIC Y EAR  
 
  
 
JANUARY 202 6 
  
Thurs day 1st - Friday 2nd       
                Thurs day 1st  
                 New Year's Day  
 
Monday 5th - Friday 9th    
                 Monday 5th  
BSN Block Release Programme Commence  
                Thursday 8th Fee Payme nt and Online Registration of Students  
                Friday 9th Fee Payment and Online Registration of Students  
  
Week 01: Monday 1 2th - Friday 1 6th  
    Monday 1 2th 
 
 Lectures Begin  
Special Examinations Begin  
Late Registration commences  
                  Friday 1 6th Special Examinations End  
  
Week 02: Monday 19th - Friday 2 3rd   
  Monday 19th   
  Tuesday 20th    
  Wednesday 2 1st     
  Thursday 2 2nd    
  Friday 2 3rd   
                
Library Committee meeting  
Research & Publications Committee meeti ng 
Graduate Studies & Honorary Degrees Committee meeting  
Curriculum & Academic Regulations Committee meeting  
ICT Committee meeting  
Quality Assurance and Compliance Committee meeting  
Week 03: Monday 2 6th     - Friday 3 0th     
                 Monday 2 6th 
  
Departmental Board of Examiners' Meetings to Consider   
Special Examination Results  
                 Wednesday 2 8th   
 College Board of Examiners' Meetings to Consider   Special 
Examination Results  
    Friday 3 0th     Senate Meeting to Consider Special  Examination Results  
  
FEBRUARY 202 6 
  
Week 04: Monday 2nd – Friday 6th  
                 Monday 2nd  
                 Friday 6th 
  
Publication of Special Examination Results  
BSN Block Release programme Ends  
"
9,"Page 9 of 30 
 Week 05: Monday 9th - Friday 1 3th  
 Monday 9th  
 Tuesday 1 0th   
 Wednesday 1 1th  
 Thursday 1 2th  
 Friday 1 3th  
  
Library Committee meeting  
Research & Publications Committee meeting  
Graduate Studies & Honorary Degrees Committee meeting  
Curriculum & Academic Regulations Committee meeting  
Late Registrat ion Ends  
Week 06: Monday 1 6th - Friday 2 0th   
                 Tuesday 1 7th    
                 Wednesday 1 8th   
Quality Assurance and Compliance Committee meeting  
ICT Committee meeting  
                 Satur day 21st    Public Holiday  
Week 07: Monday 2 3rd     - Friday 2 7th  
 
                 Friday 2 7th     
 
Academic Ceremonies Committee meeting  
MARCH 202 6 
  
Week 08: Monday 2nd - Friday 6th  
                 Thursday 5th  
Mid Semester Break  
Week 09: Monday 10th - Friday 14th  
    Monday 10th 
    Friday 14th  
Lectures Resume  
Academic Ceremonies Committee meeti ng 
Week 10: Monday 1 6th - Friday 2 0th  
  Monday 1 6th 
  
  Tuesday 1 7th  
  
                 Wednesday 1 8th 
 Thursday 19th    
  Friday 2 0th   
  
Attachment Assessments Commences  
Library Committee mee ting 
Research & Publications Committee meeting  
Quality Assurance and Compliance Committee meeting  
Graduate Studies & Honorary Degrees Committee meeting  
Curriculum & Academic Regulations Committee meeting  
ICT Committee meeting  
Attachment Assessments Ends  
Week 11: Monday 2 3rd    - Friday 27th        
                 Thursday 26th         
Business Senate Meeting  
APRIL 202 6 
  
Week 12: Monday 30th      - Friday 3rd    
   Friday 3rd          
Academic Ceremonies Committee Meeting     
                 Saturday 4th  Public holiday  
                 Sunday 5th  Public holiday  
Week 13: Monday 6th - Friday 10th  
                 Monday 6th   
Public holiday  
                 Tuesday 7th  
               Friday 1 0th Last Classes of Second Semester  
Academic Ceremonies Committee Meeting     
Week 14: Monday 1 3th - Friday 1 7th  
Monday 1 3th Examinations for the Second Semester Begin  
                  Friday 1 7th    Last Classes for Continuing Students      
  
                 Saturday 18th  Public Holiday  "
10,"Page 10 of 30 
   
Week 15: Mo nday 2 0th   - Friday 2 4th       
  
    Friday 2 4th       Examinations for the Second Semester End 
                 Saturday 25th    End of Semester  
MAY 2026  
  
Week 16: Monday 27th   - Friday 1st    
                 Friday 1st       Public Holiday  
      
Week 17: Monday 4th – Friday 8th  
                 Monday 4th  
 
 Tuesday 5th  Departmental Board of Examiners' Meetings to Consider 
Examinations Results for Final Year Students  
  Thursday 7th   
 College Board of Examiners' Meetings to Consider 
Examin ations Results for Final Year Students  
                 Friday 8th Academic Ceremonies Committee meeting  
  
Week 18: Monday 11th – Friday 15th   
  
                Thursday 14th  Senate Meeting to Consider Examinations Results for Final 
Year Students  
  Friday 15th Publication of Examinations Results for Final Year Students  
Academic Ceremonies Committee meeting  
Week 19: Monday 18th – Friday 22nd   
 
                  Friday 22nd   Academic Ceremonies Committee meeting  
  
Week 20: Monday 25th – Friday 29th  
                 Monday 25th Public Holiday  
                 Tuesday 26th      Departmental Board of Examiners' Meetings to Consider 
Examination Results for Continuing Students    
              Thursday 28th         College Board of Examiners' Mee tings to Consider Examination 
Results for Continuing students  
  
                 Friday 29th Academic Ceremonies Committee meeting  
 
JUNE 2026   
Week 21: Monday 1st    – Friday 5th  
  
  
                 Thursday 4th  Academic Ceremonies Committee mee ting 
  
                 Friday 5th  Graduation Rehearsals  
                 Saturday 6th  Graduation Day  
  "
